brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,41110,"[35.49, 24.99]",特斯拉中国,1,中型SUV,纯电动,2024.02,4年或8万公里
比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/57f96638e8d34ce282039ad70270aa98~tplv-resize:640:0.png,35201,"[8.58, 6.58]",比亚迪,2,小型车,纯电动,2024.08,6年或15万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,25573,"[16.19, 6.98]",东风日产,3,紧凑型车,汽油,2024.01,3年或10万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/657fc6190656454f9cfdb2a4d97b7874~tplv-resize:640:0.png,24348,"[10.89, 6.9]",上汽大众,4,紧凑型车,汽油,2023.09,3年或10万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,23918,"[14.78, 11.98]",比亚迪,5,紧凑型SUV,纯电动,2024.03,6年或15万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,23864,"[27.98, 24.98]",理想汽车,6,中大型SUV,增程式,2024.04,5年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,21951,"[15.48, 9.58]",广汽丰田,7,紧凑型SUV,汽油,2024.07,3年或10万公里
比亚迪,秦PLUS DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,21679,"[12.58, 7.98]",比亚迪,8,紧凑型车,插电式混合动力,2024.02,6年或15万公里
比亚迪,宋PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,20573,"[17.58, 12.48]",比亚迪,9,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,19441,"[12.38, 7.98]",比亚迪,10,紧凑型车,插电式混合动力,2024.02,6年或15万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,19440,"[13.59, 9.09]",一汽-大众,11,紧凑型车,汽油,2024.04,3年或10万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,19316,"[13.98, 10.98]",比亚迪,12,紧凑型SUV,插电式混合动力,2024.03,6年或15万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/25d4d4c6e46f4f078d75e768fabd7f0e~tplv-resize:640:0.png,18151,"[33.59, 23.19]",特斯拉中国,13,中型车,纯电动,2024.04,4年或8万公里
比亚迪,秦L DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/433b1c61fd5645379d4a1e83591fa3e1~tplv-resize:640:0.png,18021,"[13.98, 9.98]",比亚迪,14,中型车,插电式混合动力,2024.05,6年或15万公里
AITO,问界M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3f0218d360774e5482bd7f2bc900d415~tplv-resize:640:0.png,17501,"[32.98, 24.98]",赛力斯汽车,15,中大型SUV,增程式,2023.09,4年或10万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,17222,"[15.98, 10.98]",比亚迪,16,紧凑型车,纯电动,2024.02,6年或15万公里
大众,帕萨特,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,17097,"[18.13, 13.99]",上汽大众,17,中型车,汽油,2023.10,3年或10万公里
埃安,AION Y,https://p9-dcd.byteimg.com/img/motor-mis-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,16670,"[14.08, 9.48]",广汽埃安新能源,18,紧凑型SUV,纯电动,2024.03,4年或15万公里
本田,本田CR-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,16570,"[22.39, 14.59]",东风本田,19,紧凑型SUV,油电混合,2024.04,3年或10万公里
AITO,问界M9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c6eb4687b1d1477c86826edc4d417e6c~tplv-resize:640:0.png,16525,"[56.98, 46.98]",赛力斯汽车,20,大型SUV,增程式,2023.12,4年或10万公里
丰田,RAV4荣放,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c61a39f9015c4a1f85cc2f22acaa73b4~tplv-resize:640:0.png,16432,"[20.78, 12.68]",一汽丰田,21,紧凑型SUV,汽油,2023.04,3年或10万公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/img/motor-mis-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,16161,"[14.58, 8.98]",一汽丰田,22,紧凑型SUV,汽油,2024.06,3年或10万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e089916842c943ab8277e180dfb3240b~tplv-resize:640:0.png,15828,"[17.02, 12.22]",吉利汽车,23,紧凑型SUV,汽油,2024.01,4年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c02aa97643944bed96a20db674f0fcb6~tplv-resize:640:0.png,15200,"[50.88, 33.72]",北京奔驰,24,中大型车,48V轻混系统,2023.12,3年不限公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d134e37505c04c6582710d4f960a8126~tplv-resize:640:0.png,14383,"[32.9, 26.9]",极氪,25,中大型车,纯电动,2024.02,4年或10万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a507b6ec14c4ead9c95c336893aa9d2~tplv-resize:640:0.png,14296,"[29.99, 21.59]",小米汽车,26,中大型车,纯电动,2024.03,5年或10万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/img/motor-mis-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,14271,"[47.29, 30.81]",一汽-大众奥迪,27,中大型车,汽油,2023.10,3年或10万公里
大众,迈腾,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png,14165,"[24.69, 13.19]",一汽-大众,28,中型车,汽油,2024.07,3年或10万公里
埃安,AION S,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eb774d9fa2a143efbfa6dfd38fbea82f~tplv-resize:640:0.png,13788,"[16.49, 12.28]",广汽埃安新能源,29,紧凑型车,纯电动,2024.07,4年或15万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,13600,"[40.93, 30.58]",北京奔驰,30,中型SUV,48V轻混系统,2024.03,3年不限公里
宝马,宝马3系,https://p3-dcd.byteimg.com/img/motor-mis-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-resize:640:0.png,13461,"[29.99, 19.99]",华晨宝马,31,中型车,汽油,2022.08,3年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,12974,"[32.75, 26.72]",一汽-大众奥迪,32,中型SUV,汽油,2023.10,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-resize:640:0.png,12521,"[15.99, 8.99]",奇瑞汽车,33,中型SUV,汽油,2023.10,3年或10万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-mis-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,12387,"[33, 19.98]",长城汽车,34,紧凑型SUV,汽油,2023.08,5年或15万公里
丰田,威兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/061f73faac15418fa6d7153922aa4efc~tplv-resize:640:0.png,12369,"[22.98, 12.88]",广汽丰田,35,紧凑型SUV,汽油,2024.05,3年或10万公里
比亚迪,宋PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fa73e1ea76ca4aa9aa291fd9d73dbf98~tplv-resize:640:0.png,12338,"[18.48, 14.48]",比亚迪,36,紧凑型SUV,纯电动,2024.02,6年或15万公里
丰田,凯美瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f03dc47b2bf642968efaed9fc4afb46e~tplv-resize:640:0.png,12281,"[23.28, 14.48]",广汽丰田,37,中型车,汽油,2024.03,3年或10万公里
本田,雅阁,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-resize:640:0.png,11964,"[18.38, 13.48]",广汽本田,38,中型车,汽油,2024.01,3年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,11900,"[26.86, 22.18]",北京奔驰,39,中型车,48V轻混系统,2024.03,3年不限公里
比亚迪,唐DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c1608c9862b4aafb901b9e9e392ad03~tplv-resize:640:0.png,11678,"[26.98, 17.98]",比亚迪,40,中型SUV,插电式混合动力,2024.02,6年或15万公里
五菱汽车,五菱缤果,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7874a5c08b544f70ba7e8647e0ef0879~tplv-resize:640:0.png,11175,"[8.88, 5.68]",上汽通用五菱,41,小型车,纯电动,2024.06,3年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,11133,"[19.58, 12.98]",一汽红旗,42,中型车,汽油,2023.08,4年或10万公里
大众,探岳,https://p9-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,10876,"[21.59, 16.09]",一汽-大众,43,中型SUV,汽油,2023.10,3年或10万公里
比亚迪,汉DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a965de726e8a43909ebfe83ae9325804~tplv-resize:640:0.png,10857,"[25.98, 16.98]",比亚迪,44,中大型车,插电式混合动力,2024.02,6年或15万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/75ebab9e98d24c8b86fbae3f3554dc15~tplv-resize:640:0.png,10770,"[12.49, 9.99]",长安汽车,45,紧凑型SUV,汽油,2024.03,3年或10万公里
奥迪,奥迪A4L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/da440185e7f349d6b0d58938facb129d~tplv-resize:640:0.png,10744,"[26.05, 20.92]",一汽-大众奥迪,46,中型车,汽油,2023.10,3年或10万公里
理想汽车,理想L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eb87a765755d45a3920455aabdadadcb~tplv-resize:640:0.png,10726,"[35.98, 30.18]",理想汽车,47,中大型SUV,增程式,2024.03,5年或10万公里
五菱汽车,五菱宏光MINIEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,10187,"[9.99, 3.28]",上汽通用五菱,48,微型车,纯电动,2023.11,3年或12万公里
吉利汽车,帝豪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5c786d6818bf460fabdb81c0cdf5f760~tplv-resize:640:0.png,10172,"[12.08, 5.19]",吉利汽车,49,紧凑型车,汽油,2024.07,4年或15万公里
捷途,捷途旅行者,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8978837049a9472c97d5983a41127d24~tplv-resize:640:0.png,10002,"[21.99, 13.99]",奇瑞汽车,50,紧凑型SUV,汽油,2024.01,4年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,9926,"[13.57, 9.97]",吉利汽车,51,紧凑型车,汽油,2024.06,4年或10万公里
大众,途观L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fae84b4c399e4a4294a7eca0fec5be6c~tplv-resize:640:0.png,9857,"[24.18, 13.38]",上汽大众,52,中型SUV,汽油,2024.05,3年或10万公里
腾势,腾势D9 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0fa1a154670f4bb9b330d0b931fa4024~tplv-resize:640:0.png,9667,"[60.06, 33.98]",腾势汽车,53,中大型MPV,插电式混合动力,2024.03,6年或15万公里
奇瑞,艾瑞泽8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,9203,"[13.39, 8.69]",奇瑞汽车,54,紧凑型车,汽油,2024.03,3年或10万公里
吉利汽车,熊猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/faf3420cf3fd4f949f777c2ad1d1d0cc~tplv-resize:640:0.png,9154,"[4.69, 2.99]",吉利汽车,55,微型车,纯电动,2024.03,3年或12万公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png,9149,"[7.99, 6.99]",长安汽车,56,紧凑型车,汽油,2024.03,3年或10万公里
丰田,卡罗拉,https://p9-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,8870,"[11.18, 7.28]",一汽丰田,57,紧凑型车,汽油,2024.07,3年或10万公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/20187774599c4f4186b8e9913cf2989a~tplv-resize:640:0.png,8858,"[19.98, 12.58]",一汽红旗,58,中型车,纯电动,2024.04,3年或30万公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,8841,"[22.89, 14.39]",广汽本田,59,紧凑型SUV,油电混合,2024.01,3年或10万公里
长安,长安Lumin,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,8807,"[6.19, 3.39]",长安汽车,60,微型车,纯电动,2024.06,3年或12万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c7a30225a14f419081c59073b9e2b74d~tplv-resize:640:0.png,8742,"[21.98, 15.38]",一汽红旗,61,中型SUV,汽油,2024.03,4年或10万公里
宝马,宝马X3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6ef160326cdc43d6b8395d9b0ae6a31c~tplv-resize:640:0.png,8656,"[34.69, 26.96]",华晨宝马,62,中型SUV,汽油,2023.02,3年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85fab8db1b346578e344ab528cbeaa2~tplv-resize:640:0.png,8436,"[40.09, 31.99]",华晨宝马,63,中大型车,48V轻混系统,2024.01,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f90467b59e54ad7a74c035d516e7772~tplv-resize:640:0.png,8429,"[12.98, 9.98]",比亚迪,64,小型车,纯电动,2024.07,6年或15万公里
比亚迪,元UP,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eca155ce5f884c349d4d541e5b9e7277~tplv-resize:640:0.png,8392,"[11.98, 9.38]",比亚迪,65,小型SUV,纯电动,2024.03,6年或15万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f4da599a90704dfabdcd45194b4dea30~tplv-resize:640:0.png,8358,"[8.38, 6.08]",吉利汽车,66,小型SUV,汽油,2024.07,4年或10万公里
丰田,赛那,https://p3-dcd.byteimg.com/img/motor-mis-img/3d40895e3ab4e118a086187f7e78ebba~tplv-resize:640:0.png,8099,"[38.58, 27.48]",广汽丰田,67,中大型MPV,油电混合,2024.04,3年或10万公里
比亚迪,汉EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e6d6f7c2291d47f6a4a7d19c3ec01892~tplv-resize:640:0.png,7841,"[26.98, 17.98]",比亚迪,68,中大型车,纯电动,2024.02,6年或15万公里
日产,逍客,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74a5e843ff5340aea475757a258d43bb~tplv-resize:640:0.png,7834,"[16.69, 9.69]",东风日产,69,紧凑型SUV,汽油,2023.07,3年或10万公里
蔚来,蔚来ES6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,7654,"[39.6, 33.8]",蔚来,70,中型SUV,纯电动,2024.02,3年或12万公里
比亚迪,海豹06,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e65fdc8293d04063bc07ed05198a2c83~tplv-resize:640:0.png,7625,"[13.98, 9.98]",比亚迪,71,中型车,插电式混合动力,2024.05,6年或15万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,7493,"[21.49, 17.39]",华晨宝马,72,紧凑型SUV,汽油,2023.04,3年或10万公里
比亚迪,海豹DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/74e489c57f1945faa0ac4ede26c433d1~tplv-resize:640:0.png,7325,"[21.48, 14]",比亚迪,73,中型车,插电式混合动力,2024.02,6年或15万公里
深蓝汽车,深蓝S07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e547cdc3ae5c487e87a624378b76ab13~tplv-resize:640:0.png,7310,"[20.29, 13.99]",深蓝汽车,74,中型SUV,增程式,2024.07,3年或12万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fe6bc328cfa64a6eb81d94f888a6e001~tplv-resize:640:0.png,7054,"[30.38, 21.98]",广汽丰田,75,中型SUV,油电混合,2024.05,3年或10万公里
大众,大众ID.3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/42a481517c384446ae0fe27e3f2c1248~tplv-resize:640:0.png,7043,"[13.69, 11.39]",上汽大众,76,紧凑型车,纯电动,2024.07,3年或10万公里
宝马,宝马i3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/69adf783b37346dbae6000fff0502a9a~tplv-resize:640:0.png,6952,"[27.5, 21.5]",华晨宝马,77,中型车,纯电动,2023.11,3年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,6841,"[43.98, 40.98]",理想汽车,78,大型SUV,增程式,2024.03,5年或10万公里
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,6810,"[12.49, 9.89]",长城汽车,79,紧凑型SUV,汽油,2023.07,3年或10万公里
AITO,问界M5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4b38b8a6aaa5407a9f6c0bb5bc346058~tplv-resize:640:0.png,6796,"[27.98, 24.98]",赛力斯汽车,80,中型SUV,增程式,2024.04,4年或10万公里
宝马,宝马X5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,6727,"[72, 52.5]",华晨宝马,81,中大型SUV,48V轻混系统,2023.08,3年或10万公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-mis-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,6589,"[14.99, 9.19]",东风本田,82,紧凑型车,汽油,2022.12,3年或10万公里
广汽传祺,传祺M8,https://p9-dcd.byteimg.com/img/motor-mis-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,6562,"[33.28, 16.98]",广汽乘用车,83,中大型MPV,汽油,2024.05,3年或10万公里
吉利银河,银河L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f10ed13fe0594fda9a42cee9eebd18c1~tplv-resize:640:0.png,6499,"[16.57, 10.87]",吉利银河,84,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
吉利银河,银河L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0b3ee25dceca4fe5982a29702074a0a2~tplv-resize:640:0.png,6391,"[12.98, 9.38]",吉利银河,85,紧凑型车,插电式混合动力,2024.03,4年或10万公里
大众,宝来,https://p9-dcd.byteimg.com/img/motor-mis-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,6320,"[10.69, 7.59]",一汽-大众,86,紧凑型车,汽油,2024.04,3年或10万公里
深蓝汽车,深蓝SL03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,6221,"[69.99, 12.49]",深蓝汽车,87,中型车,增程式,2024.02,3年或12万公里
领克,领克08 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,6199,"[24.18, 17.88]",领克,88,中型SUV,插电式混合动力,2024.04,5年或10万公里
捷途,捷途X70,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,6134,"[16.09, 7.79]",奇瑞汽车,89,中型SUV,汽油,2024.04,4年或10万公里
零跑汽车,零跑T03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/464986d3ad5845e9aac85a6960479de0~tplv-resize:640:0.png,6132,"[6.99, 4.99]",零跑汽车,90,微型车,纯电动,2024.03,3年或12万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,6000,"[15.19, 9.89]",广汽本田,91,紧凑型车,汽油,2024.03,3年或10万公里
